timestamp,token,entry_price,exit_price,pnl_pct,reason
2025-11-17 13:07:58,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,0.1123,0.1039,-7.48,hard_stop_loss_-7.48%
2025-11-17 15:23:46,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,0.03899,0.03591,-7.9,hard_stop_loss_-7.90%
2025-11-18 04:55:03,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,0.1048,0.1204,14.89,take_profit
2025-11-19 00:39:14,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,0.1252,0.116,-7.35,hard_stop_loss_-7.35%
2025-11-19 14:06:02,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,0.00964,0.008788,-8.84,hard_stop_loss_-8.84%
2025-11-19 14:59:47,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,0.004837,0.006175,27.66,take_profit
2025-11-20 11:17:02,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,0.005981,0.007135,19.29,take_profit
2025-11-20 11:19:18,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.3021,0.2807,-7.08,hard_stop_loss_-7.08%
2025-11-20 11:23:26,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,0.01242,0.01153,-7.17,hard_stop_loss_-7.17%
2025-11-20 20:24:59,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,0.006535,0.006023,-7.83,hard_stop_loss_-7.83%
2025-11-21 00:41:56,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.2738,0.2528,-7.67,hard_stop_loss_-7.67%
2025-11-21 17:00:08,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.2382,0.2171,-8.86,hard_stop_loss_-8.86%
2025-11-21 23:31:11,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,0.005166,0.004803,-7.03,hard_stop_loss_-7.03%
2025-11-22 04:05:32,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.2181,0.2027,-7.06,hard_stop_loss_-7.06%
2025-11-22 15:30:04,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.1808,0.2066,14.27,take_profit
2025-11-22 15:45:51,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,0.1358,0.1255,-7.58,hard_stop_loss_-7.58%
2025-11-23 04:01:17,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.03592,0.04291,19.46,take_profit
2025-11-23 09:04:50,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.03592,0.05828,62.25,take_profit
2025-11-23 11:24:09,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.02986,0.02759,-7.6,hard_stop_loss_-7.60%
2025-11-23 12:33:12,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.03503,0.03193,-8.85,hard_stop_loss_-8.85%
2025-11-23 23:25:51,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.217,0.2453,13.04,take_profit
2025-11-24 01:05:20,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.02839,0.03663,29.02,take_profit
2025-11-24 11:17:43,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.06056,0.05632,-7.0,hard_stop_loss_7.0%_triggered_at_-7.00%
2025-11-24 12:58:13,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,0.009052,0.01015,12.13,take_profit
2025-11-24 12:58:19,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0.2484,0.2828,13.85,take_profit
